INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
GLIMPSEInputEmissCoef,,,,,,,,,,
,,,,,,,,,,
region,supplysector,tranSubsector,stub-technology,year,pollutant,value,type,,,
all states,trn_pass,Domestic Aviation,Liquids,2015,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2020,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2025,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2030,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2035,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2040,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2045,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2050,NOx, 0.0294174 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2015,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2020,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2025,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2030,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2035,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2040,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2045,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2050,SO2_1, 0.0039726 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2015,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2020,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2025,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2030,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2035,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2040,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2045,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2050,PM10, 0.0032761 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2015,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2020,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2025,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2030,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2035,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2040,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2045,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2050,PM2.5, 0.0028641 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2015,NMVOC, 0.0087079 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2020,NMVOC, 0.0087079 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2025,NMVOC, 0.0087079 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2030,NMVOC, 0.0087079 ,input-driver,,,
all states,trn_pass,Domestic Aviation,Liquids,2035,NMVOC, 0.0087079 ,input-driver,,,
