year,https://apps.bea.gov/
2025,2.8
2024,2.5
2023,3.7
2022,7.1
2021,4.6
2020,1.3
2019,1.7
2018,2.3
2017,1.8
2016,1
2015,0.9
2014,1.7
2013,1.7
2012,1.9
2011,2.1
2010,1.2
2009,0.6
2008,1.9
2007,2.7
2006,3.1
2005,3.1
2004,2.7
2003,2
2002,1.6
2001,2.3
2000,2.3
1999,1.4
1998,1.1
1997,1.7
1996,1.8
1995,2.1
1994,2.1
1993,2.4
1992,2.3
1991,3.4
1990,3.7
1989,3.9
1988,3.5
1987,2.5
1986,2
1985,3.2
1984,3.6
1983,3.9
1982,6.2
1981,9.5
1980,9
1979,8.3
1978,7
1977,6.2
1976,5.5
1975,9.3
1974,
1973,
1972,
1971,
1970,
